Model,Cluster,Group,CondoComplex,CondoComplexName,NBHD,PARCEL,ABSTRPRD,LIVEAREA,FINBSMNT,BASEMENT,YRBUILT,CONDITION,QUALITY,TOTUNITS,STORIES,GARTYPE,NOCARS,XTRAFFIC,FLOORLVL,NUMBDRM,NUMBATHS,COMMUSE,ARCSTYLE,SPRICE,DEDUCT,NETPRICE,TASP,SMONTH,SYEAR,QUALIFIED,STATUS
7,3,,,,216,02201-13-004-000,1112,1297,0,587,1906,AVG,C,1,1,None,0,,,2,1,,ONE-STORY,105000,0,105000,105000,5,2012,U,I
7,3,,,,216,02201-13-006-000,1112,906,681,906,1973,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,161700,0,161700,161700,4,2012,U,I
7,3,,,,216,02201-13-006-000,1112,906,681,906,1973,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,192000,0,192000,192000,5,2012,U,I
7,3,,,,216,02201-13-010-000,1112,1454,0,461,1906,Good,C,1,2,Det,1,,,2,2,,ONE AND HALF-STORY,135000,0,135000,135000,11,2010,U,I
7,3,,,,216,02201-13-010-000,1112,1454,0,461,1906,Good,C,1,2,Det,1,,,2,2,,ONE AND HALF-STORY,258700,0,258700,258700,7,2011,Q,I
7,3,,,,216,02201-14-006-000,1112,1928,0,806,2011,AVG,B,1,2,Det,2,,,3,3,,TWO-STORY,433000,0,433000,433000,3,2012,Q,I
7,3,,,,216,02201-14-006-000,1112,1928,0,806,2011,AVG,B,1,2,Det,2,,,3,3,,TWO-STORY,132500,0,132500,132500,5,2011,Q,V
7,3,,,,216,02201-14-007-000,1112,872,351,872,1931,Good,C,1,1,det/CP,2,,,2,1,,ONE-STORY,235000,2796,232204,232204,10,2010,Q,I
7,3,,,,216,02201-14-023-000,1112,1048,0,220,1906,Good,C,1,1,Det,2,,,3,1,,ONE-STORY,262000,5100,256900,256900,6,2012,Q,I
7,3,,,,216,02201-15-007-000,1112,1309,0,100,1905,Good,C,1,2,Det,2,,,3,3,,ONE AND HALF-STORY,295000,0,295000,295000,4,2011,Q,I
7,3,,,,216,02201-15-008-000,1112,1351,0,0,1903,AVG,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,90000,0,90000,90000,7,2010,U,I
7,3,,,,216,02201-15-008-000,1112,1351,0,0,1903,AVG,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,228900,0,228900,228900,5,2011,Q,I
7,3,,,,216,02201-15-009-000,1112,1034,0,0,1933,Good,C,1,2,None,0,,,1,1,,ONE AND HALF-STORY,176500,3700,172800,172800,6,2011,Q,I
7,3,,,,216,02201-15-017-000,1112,1029,0,603,1907,AVG,C,1,1,Det,2,,,2,1,,ONE-STORY,130000,0,130000,130000,1,2012,U,I
